,KIC
1746,3100129
1747,3100179
1748,3100188
1749,3100395
1750,3100411
1751,3100476
1752,3100479
1753,3100559
1754,3100568
1755,3100570
1756,3100608
1757,3100698
1758,3100715
1759,3100746
1760,3100768
1761,3100778
1762,3100874
1763,3100876
1764,3100890
1765,3100994
1766,3101003
1767,3101106
1768,3101112
1769,3101129
1770,3101703
1771,3101830
1772,3101865
1773,3101992
1774,3102024
1775,3102050
1776,3102072
1777,3102080
1778,3102084
1779,3102108
1780,3102164
1781,3102220
1782,3102250
1783,3102384
1784,3102473
1785,3102521
1786,3102561
1787,3102643
1788,3102680
1789,3102715
1790,3102998
1791,3103105
1792,3103125
1793,3103137
1794,3103195
1795,3103227
1796,3103228
1797,3103396
1798,3103398
1799,3103406
1800,3103473
1801,3103637
1802,3103684
1803,3103693
1804,3103831
1805,3109550
1806,3109618
1807,3109707
1808,3109761
1809,3109937
1810,3109970
1811,3110129
1812,3110177
1813,3110511
1814,3110534
1815,3110573
1816,3110766
1817,3110870
1818,3110937
1819,3110953
1820,3111017
1821,3111031
1822,3111246
1823,3111266
1824,3111275
1825,3111408
1826,3111555
1827,3111610
1828,3111686
1829,3111748
1830,3111819
1831,3111842
1832,3111917
1833,3112017
1834,3112129
1835,3112185
1836,3112191
1837,3112222
1838,3112256
1839,3112259
1840,3112399
1841,3112666
1842,3112748
1843,3112821
1844,3112828
1845,3113144
1846,3113170
1847,3113181
1848,3113266
1849,3113275
1850,3113425
1851,3113602
1852,3113666
1853,3113704
1854,3113831
1855,3114008
1856,3114159
1857,3114204
1858,3114357
1859,3114409
1860,3114451
1861,3114544
1862,3114769
1863,3114896
1864,3114916
1865,3114954
1866,3115024
1867,3115100
1868,3115141
1869,3115288
1870,3115476
1871,3115493
1872,3115606
1873,3115627
1874,3115690
1875,3115899
1876,3115968
1877,3115971
1878,3115977
1879,3115992
1880,3116135
1881,3116157
1882,3116200
1883,3116289
1884,3116341
1885,3116546
1886,3116563
1887,3116601
1888,3116786
1889,3116839
1890,3116904
1891,3117003
1892,3117123
1893,3117127
1894,3117138
1895,3117173
1896,3117185
1897,3117514
1898,3117576
1899,3117646
1900,3117804
1901,3118654
1902,3118797
1903,3118818
1904,3118837
1905,3119243
1906,3119264
1907,3119315
1908,3119431
1909,3119552
1910,3119585
1911,3119732
1912,3119943
1913,3119961
1914,3120014
1915,3120099
1916,3120205
1917,3120220
1918,3120238
1919,3120315
1920,3120351
1921,3120356
1922,3120402
1923,3120431
1924,3120467
1925,3120513
1926,3120700
1927,3120841
1928,3120893
1929,3120959
1930,3121075
1931,3121106
1932,3121155
1933,3121359
1934,3121409
1935,3121467
1936,3121634
1937,3121705
1938,3121707
1939,3121865
1940,3121957
1941,3122095
1942,3122116
1943,3122367
1944,3122385
1945,3122433
1946,3122540
1947,3122604
1948,3122611
1949,3122822
1950,3122854
1951,3122883
1952,3122913
1953,3123038
1954,3123290
1955,3123292
1956,3123313
1957,3123400
1958,3123462
1959,3123611
1960,3123619
1961,3123647
1962,3123672
1963,3123675
1964,3123693
1965,3123836
1966,3123878
1967,3124032
1968,3124094
1969,3124191
1970,3124279
1971,3124287
1972,3124349
1973,3124482
1974,3124567
1975,3124657
1976,3124825
1977,3127783
